,ibd_lengths,ibd_nodes
1314,38984.0,245907
1315,3405.0,193938
1316,951.0,375635
1317,48706.0,141009
1318,52064.0,346176
1319,111627.0,96928
1320,951.0,375635
1321,72189.0,118922
1322,61980.0,359707
1323,18019.0,245907
1324,21894.0,121475
1325,72189.0,118922
1326,3221.0,191511
1327,1820.0,310198
1328,886.0,337737
1329,48706.0,141009
1330,9948.0,313933
1331,86999.0,141008
1332,7006.0,370770
1333,38984.0,232602
1334,36842.0,346176
1335,90167.0,359707
1336,83958.0,96929
1337,91987.0,82283
1338,110418.0,242103
1339,37725.0,141009
1340,11719.0,346176
1341,17100.0,8983
1342,886.0,337737
1343,951.0,375635
1344,1016.0,344305
1345,951.0,375635
1346,13777.0,330735
1347,20080.0,313933
1348,37725.0,141009
1349,14321.0,330735
1350,40873.0,279003
1351,14696.0,96928
1352,7405.0,308398
1353,13777.0,330735
1354,23236.0,344129
1355,91987.0,121475
1356,886.0,337737
1357,3117.0,141009
1358,106068.0,28668
1359,6689.0,183723
